pdf_page,id,filename,caption,description
60,Figure 2.28,Figure2.28_TypicalPartsOfASingleShotRifleInThis.png,"Typical parts of a single-shot rifle, in this case fitted with an older style of telescopic sight (sources: ARES). Rear sight Front sight Lever Movement (lever) Trigger Buttstock Muzzle Hammer Grip Magazine (tubular) Barrel Loading gate Fore-end (handguard) Magazine (box) Pistol grip Fore-end (handguard) Barrel Muzzle Front sight Rear sight Receiver Fire selector/safety Trigger Buttstock",Labeled schematic identifying key external parts/components of a single-shot rifle with a telescopic sight.
60,Figure 2.29,Figure2.29_TypicalPartsOfABoltActionRifleInThis.png,"Typical parts of a bolt-action rifle, in this case fitted with modern style of telescopic sight (sources: ARES).",Labeled schematic(s) of break-action rifles in single- and double-barrel configurations.
60,Figure 2.30,Figure2.30_TypicalPartsOfALeverActionRifle.png,Typical parts of a lever-action rifle (sources: ARES).,Labeled schematic identifying key external parts/components of a lever-action rifle.
60,Figure 2.31,Figure2.31_TypicalPartsOfASelfLoadingRifleInThis.png,"Typical parts of a self-loading rifle, in this case a select-fire design with a detachable box magazine (sources: ARES). Grip Front sight Barrel Telescopic sight Buttstock Loading gate Rear sight Hammer Trigger Secondary trigger (not always present) Fore-end (handguard) Muzzle Muzzle Telescopic sight Barrel Sling swivel Fore-end Trigger Sling swivel Bolt Movement (bolt) Receiver Buttstock Grip",Labeled schematic identifying key parts of a select-fire self-loading rifle with detachable magazine.
61,Figure 2.32,Figure2.32_Visual.png,"(This page) Imperial Defence Services MG4A5 (5.56 × 45 mm). (Opposite page, top to bottom) SIG MCX Rattler (5.56 × 45 mm); MAC Carabine de Cuirassier Modèle 1890 (8 × 50R mm), Angstadt Arms UDP-9 (9 × 19 mm); Winchester M1 Carbine (.30 Carbine), Tula Plant AKS-74U (5.45 × 39 mm) [not to scale] (source: Sig Sauer; N.R. Jenzen-Jones/ARES; Rob Stott).",Labeled schematic identifying key parts of a select-fire sub-machine gun with detachable magazine.
64,Figure 2.33,Figure2.33_Visual.png,"(Opposite page, top to bottom) RSAF Enfield Martini–Henry (locally modified in the Middle East; .577-450 Martini–Henry), Holland & Holland Round Action Rifle (.500-465 Nitro Express), Ishapore Lee–Enfield No. 4 Mk 1 (.303 British), Winchester Model 1873 (.44-40 WCF). (This page, top to bottom) RSAF Enfield L98A1 (5.56 × 45 mm), craft-produced bolt-action rifle styled after an AK-family weapon (7 × 57 mm), Remington M2010 Enhanced Sniper Rifle (.300 Winchester Magnum), Accuracy International L115A3 (.338 Lapua Magnum), Barrett M99 (.50 BMG) [not to scale] (source: Miles Vining/ARES; Chloe Tousignant/ARES; Rock Island Auction Company; Barrett Firearms).",Labeled schematic identifying key parts of a man-portable machine gun with bipod.
66,Figure 2.34,Figure2.34_Visual.png,"(Opposite page, top to bottom) Chinese Type 56 Carbine (7.62 × 39 mm), Izhmash SVD (7.62 × 54R mm), Zastava M76 (7.92 × 57 mm), Barrett M107A1 (.50 BMG). (This page, top to bottom) SIG AK 53 (7.5 × 55 mm), Zastava M70B1 (7.62 × 39 mm), Kalashnikov Concern AK-101 (5.56 × 45 mm), KelTec SUB CQB (9 × 19 mm), FN Herstal SCAR-H (7.62 × 51 mm), Desert Tech MDR (5.56 × 45 mm) [not to scale] (source: Justin Baird/ARES; Small Arms Survey; Barrett Firearms; N.R. Jenzen-Jones/ARES; Miles Vining/ARES).",Step-by-step diagram illustrating the self-loading operating cycle (feeding/chambering/firing/extracting/ejecting/cocking).
68,Figure 2.35,Figure2.35_Visual.png,"(Opposite page, top to bottom) Norinco CS/LS06 (9 × 19 mm), Military Industries Corporation MP5 (9 × 19 mm). (This page, top to bottom) Veselý V-42 (9 × 19 mm), craft- produced ‘Luty’ sub-machine gun (9 × 19 mm), Heckler & Koch MP7 (4.6 × 30 mm), Cobray M12 (.380 ACP) [not to scale] (sources: Norinco; Miles Vining/ARES; Chloe Tousignant/ARES; N.R. Jenzen-Jones/ARES).",Photographic plate of heavy machine gun examples arranged side-by-side.
70,Figure 2.36,Figure2.36_Visual.png,"(Opposite page) Degtyaryov Plant PKM (fitted with Zenitco accessories; 7.62 × 54R mm). (This page, top to bottom) Heckler & Koch L86A2 (5.56 × 45 mm), CETME AMELI (5.56 × 45 mm), Israel Military Industries Negev (5.56 × 45 mm), Hotchkiss Modèle 1926 (Ottoman contract; 7.92 × 57 mm), Al-Qadisiya Establishments al Quds (7.62 × 39 mm) [not to scale] (sources: N.R. Jenzen-Jones/ARES; Miles Vining/ARES.).",Photo montage/plate of the listed machine guns arranged per caption order.
71,Figure 2.37,Figure2.37_TheBuildUpOfGasPressureBehindTheProjectile.png,"The build-up of gas pressure behind the projectile propels it out of the barrel of the gun. The cartridge case and bolt face provide a gas seal (rearward obturation) (source: Jenzen-Jones & Ferguson, 2018 after Chinn, 1955). Small arms operating systems can be broadly divided into two categories: those which are manually operated and those which are self-loading. Manually operated small arms rely on the user to perform key operating actions, whereas self-loading firearms make use of the chemical energy (a form of potential energy) stored within a cartridge to perform these critical actions. The vast majority of firearms in existence today are repeating firearms. In a repeating firearm, the number of cartridges held in the weapon is greater than the number of barrels, one or more cartridges are held elsewhere than the firing chamber, and more than one shot can be fired before the weapon needs to be reloaded.89 88 Or otherwise activates the trigger of the weapon. 89 Break-open weapons are not repeating firearms, whereas bolt-, pump-, and lever-action designs—as well as all self- loading firearms—are most often repeating firearms (ARES, 2017).",Photographic/illustrated plate of light cannon examples arranged top/bottom as described.
72,Figure 2.38,Figure2.38_ABreakOpenFirearmInThisCaseAShotgun.png,"A break-open firearm, in this case a shotgun, depicted with the action open (source: ARES). Trigger Ejector Chamber Barrel Fore-end (handguard)",Comparative visual of multiple ammunition rounds laid out in rows to show relative sizes.
73,Figure 2.39,Figure2.39_ACutawayDiagramOfATypicalBoltActionRifle.png,A cutaway diagram of a typical bolt-action rifle (source: ARES).,Photographic plate of light recoilless gun examples arranged side-by-side.
73,Figure 2.40,Figure2.40_ACutawayDiagramOfATypicalLeverActionRifle.png,A cutaway diagram of a typical lever-action rifle (source: ARES). Chamber Trigger Firing pin Magazine (fixed) Bolt Bolt handle Barrel Bore Bolt movement Chamber Hammer Lever Trigger Lever movement Bolt Barrel Bore Magazine (tubular) Firing pin,Photographic plate of grenade launcher examples arranged in top and bottom rows.
74,Figure 2.41,Figure2.41_ACutawayDiagramOfATypicalPumpActionShotgun.png,A cutaway diagram of a typical pump-action shotgun (source: ARES).,Photographic plate of light mortar examples arranged side-by-side.
74,Figure 2.42,Figure2.42_ACutawayDiagramOfATypicalRevolver.png,A cutaway diagram of a typical revolver (source: ARES).,Labeled schematic identifying key external parts/components of a mortar.
76,Figure 2.43,Figure2.43_ACutawayDiagramOfATypicalSelfLoadingPistol.png,"A cutaway diagram of a typical self-loading pistol, in this case a semi-automatic example (sources: Small Arms Survey).",Photographic plate of light rocket launcher examples arranged in top and bottom rows.
77,Figure 2.44,Figure2.44_ACutawayDiagramOfATypicalSelfLoadingRifle.png,"A cutaway diagram of a typical self-loading rifle, in this case a gas-operated, selective-fire example (source: ARES).",Photographic plate of guided missile launcher examples arranged in two rows.
78,Figure 2.45,Figure2.45_TypicalPartsOfAMuzzleLoadingFirearm.png,"Typical parts of a muzzle-loading firearm. Two common lock types, a flintlock and percussion lock, are depicted (sources: ARES). Muzzle Buttstock Patch box Trigger Set trigger (not always present) Lock plate Lock Ramrod Percussion cap Nipple Cock Hammer Flint Pan Frizzen Barrel Front sight Rear sight Key Grip Flintlock Percussion Lock ger Lock plate Ramrod Percussion cap Nipple Cock Hammer Flint Pan Frizzen",Photographic plate of flamethrower/projector examples arranged side-by-side.
82,Figure 2.46,Figure2.46_TopToBottomBrowningM2.png,"Top to bottom: Browning M2 (.50 BMG), Breda Modello 37 (8 × 59Rb mm), Breda Modello 31 (13.2 × 99 mm) Tula Arms Plant DShKM (12.7 × 108 mm), V.A. Degtyarev Plant KPV (14.5 × 114 mm) [not to scale] (sources: Small Arms Survey; Wikimedia Commons; MJL Militaria; Rosoboronexport).",Photographic plate of various SALW-adjacent items grouped together.
84,Figure 2.47,Figure2.47_ANexterP20.png,"A Nexter P20 (20 × 102 mm) light cannon, mounted on a military vehicle. In recent years, light cannon such as this have been positioned as replacement armaments for .50-calibre machine guns on light tactical vehicles (source: Nexter). 110 The U.S. Army’s definition of cannon, in line with historical usage, applies to the barrel and breech of any large- calibre weapon, including mortars. Many European nations regard the term ‘cannon’ as implying a self-loading design, or ‘autocannon’. A representative definition of a cannon is: “a complete assembly which consists of a tube and a breech mechanism with a firing mechanism or base cap and which is a component of a gun, howitzer, or mortar; may include muzzle appendages; the term is generally limited to calibres greater than 1 inch” (McGraw-Hill, 2003). 111 I.e., such a recoil mechanism being a critical component.",Photographic plate of drill/dummy weapons and dummy ammunition arranged left-to-right.
85,Figure 2.48,Figure2.48_TopToBottomDenelNTW20.png,"Top to bottom: Denel NTW 20 (20 × 82 mm), Truvelo Specialised Manufacturing CMS 20 (20 × 42B mm), Valtion Kivääritehdas L-39 (20 × 138B mm) [not to scale] (sources: Denel, Truvelo Specialised Manufacturing; Royal Armouries). 112 This term is avoided herein to prevent conflation of automatic and semi-automatic weapons of this Type. The distinction between automatic and semi-automatic fire becomes less useful for Heavy Weapons than it is for Small Arms and Light Weapons, as external power becomes commonplace.",Photographic plate of blank-firing weapons arranged side-by-side.
86,Figure 2.49,Figure2.49_ThreeExamplesOfShoulderFiredLightRecoillessGunsTop.png,"Three examples of shoulder-fired light recoilless guns, top to bottom: Dynamit Nobel Panzerfaust 3 (60 mm; 110 mm warhead), Izhmash RPG-7V (40 mm; various warhead sizes, most over-calibre), Saab AT4 (84 mm) [not to scale] (sources: Dynamit Nobel; Small Arms Survey; Saab).",Photographic plate of air weapons arranged side-by-side.
87,Figure 2.50,Figure2.50_TwoCommonCrewServedLightRecoillessGunsTheSPG9.png,"Two common crew-served light recoilless guns, the SPG-9 (73 mm; top) and B-10 (82 mm; bottom), both originally of Soviet design [not to scale] (sources: Small Arms Survey). 113 The key technical distinction is that “rocket launchers do not propel rockets, which incorporate their own source of propulsion and would still fire successfully if ignited outside their launch tube. In contrast, recoilless weapons have a functional barrel that contributes directly to the acceleration of the fired projectile, which is propelled out of the barrel by the expanding gases generated by burning propellant” (Jenzen-Jones, Ferguson & Williams, 2018, p. 182; Newhouse, 2011).","Comparative image of two crew-served recoilless guns, arranged top (SPG-9) and bottom (B-10)."
88,Figure 2.51,Figure2.51_ThreeExamplesOfAuxiliary.png,"Three examples of auxiliary (in this case, underbarrel) light grenade launchers, top to bottom: Izhmash GP-25 (40 mm semi-caseless) fitted to an AK-74 self-loading rifle, Colt Defense M203 (40 × 46SR mm) fitted to an M16A1 self-loading rifle, FN Herstal FN40GL (40 × 46SR mm) fitted to a SCAR-L self-loading rifle [not to scale] (sources: Small Arms Survey; N.R. Jenzen-Jones/ARES).",Photographic plate of replica firearms arranged side-by-side.
89,Figure 2.52,Figure2.52_TwoExamplesOfHandHeldLightGrenadeLaunchersTop.png,"Two examples of hand-held light grenade launchers, top to bottom: Springfield Armory T148E1 (40 × 46SR mm), Arsenal MSGL (40 × 46SR mm) [not to scale] (source: N.R. Jenzen-Jones/ARES). 114 See General Dynamics, 2020. It is important to note that these terms do not reflect the broader distinction between low-velocity and high-velocity ammunition used by many armed forces or manufacturers, nor indeed within ARCS (see Cartridge Ammunition Velocities, p. 83).",Photographic plate of directed-energy devices arranged side-by-side.
90,Figure 2.53,Figure2.53_TwoExamplesOfCrewServedLightGrenadeLaunchersTop.png,"Two examples of crew-served light grenade launchers, top to bottom: Zastava Arms M93 (30 × 29B mm), General Dynamics Ordnance & Tactical Systems MK47 MOD0 (40 × 53SR mm) [not to scale]. In this case, both are automatic weapons (sources: Zastava Arms; Australian Department of Defence).",Photographic plate of less-lethal munitions/projectiles arranged side-by-side.
92,Figure 2.54,Figure2.54_LeftToRightSKBNo.png,"Left to right: SKB No. 4 M1940 (50 mm), PPT Namenska M70C (60 mm)[not to scale] (sources: Rock Island Auction Company; PPT Namenska). 117 Modern examples include the U.S. M224 60 mm Mortar (Department of the Army, 2007, p. 3-1) and the Austrian M6 C-640 Mk1 60mm Commando Mortar (Hirtenberger Defence Systems, 2016).",Photographic plate of flare guns arranged side-by-side.
93,Figure 2.55,Figure2.55_TopToBottomRoyalOrdnanceL16.png,"Top to bottom: Royal Ordnance L16 (81 mm), CRI Burevestnik 2B24 Sani (82 mm) [not to scale] (sources: Wikimedia Commons; Rosobornexport).",Visual element described by the caption.
95,Figure 2.56,Figure2.56_TopToBottomMecarRL83Blindicide.png,"Top to bottom: Mecar RL-83 Blindicide (Egyptian contract; 83 mm), Talley Industries M72A3 LAW (66 mm), MAS LRAC F1 (89 mm), NPO Bazalt RPG-18 (64 mm) [not to scale] (sources: N.R. Jenzen-Jones/ARES; Small Arms Survey; Zonawar).",Visual element described by the caption.
97,Figure 2.57,Figure2.57_AThalesUKLightweightMultipleLauncherNext.png,"A Thales UK Lightweight Multiple Launcher – Next Generation (LML-NG) firing a STARStreak high-velocity surface-to-air missile. This type of light guided missile launcher is often considered a ‘crew-portable air defence system’ (CREWPADS) (source: Thales UK). A guided missile commonly has four key elements: a propulsion system, flight system, guidance system, and warhead. Guided missile propulsion systems can be broadly categorised as liquid propellant, solid propellant, or ‘air breathers’ (Department of the Air Force, 1972, pp. 1–16). Given the small size of light guided missiles, solid propellant rocket motors are the most likely to be encountered. The propulsion system might consist of a single rocket motor, or be a more complicated ‘rocket engine’. The flight system consists of the control surfaces (fins, ailerons, etc.) and their corresponding control devices. Some munitions, such as the missiles fired by the U.S. M47 Dragon, utilise dedicated rocket motors to make adjustments to their flight path. The guidance system may be totally independent within the missile (so-called ‘fire-and-forget’; F&F) or it may require direction and guidance from the operator/launcher. Fire-and-forget guidance systems are most common for MANPADS, depending on sensors that detect the signature of their target. The warhead section122 will contain the missile’s payload as well as one or more fuzes.123 Depending on the type of fuzing (contact, proximity, etc.), the fuze may be standalone or integrated with the missile’s guidance system. 122 Note that the term ‘warhead’ is used generically, and does not necessarily indicate that a munition’s payload is contained within the nose or forward section (‘head’) of the munition—although this is often the case. 123 In specialist arms and munitions use, the spelling of ‘fuze’ (with a ‘z’) has come to distinguish a more complex mechanical, chemical, or electrical firing device from simple ‘fuses’ (spelled with an ‘s’), which are cord- or tube-like containers filled with deflagrating or detonating materials.",Visual element described by the caption.
98,Figure 2.58,Figure2.58_TwoLightGuidedMissileLaunchersFiringSurfaceToAirMissiles.png,"Two light guided missile launchers firing surface-to-air missiles, commonly regarded as MANPADS. Top: Mesko PPZR Piorun (72 mm); bottom: KB Mashinostroyeniya 9K32M Strela- 2M (72 mm) (sources: Mesko; U.S. Navy). The two most common guidance principles for SSM systems are manual command to line-of-sight (MCLOS) and semi-automatic command to line-of-sight (SACLOS). MCLOS guidance requires the operator to manually guide the missile onto target. This method requires a high degree of skill to operate, and generally sees the operator controlling the missile’s flight through a magnifying periscope from a fixed position. SACLOS systems only requires the operator to keep the weapon’s sighting system trained on the target during the missile’s flight, requiring significantly less operator training to achieve proficiency versus an MCLOS system (Fulmer, Jenzen- Jones & Lyamin, 2016; Jenzen-Jones, Ferguson & Williams, 2018). SSM systems with F&F guidance are also available.",Visual element described by the caption.
98,Figure 2.59,Figure2.59_ThreeLightGuidedMissileLaunchersFiringSurfaceToSurfaceMissiles.png,"Three light guided missile launchers firing surface-to-surface missiles, commonly regarded as ATGMs. Left to right: Raytheon M47 Dragon (140 mm), KBP Instrument Design Bureau 9K135 Kornet-E (152 mm), Eurospike SPIKE LR (130 mm) [not to scale] (sources: Wikimedia Commons; Rosoboronexport).",Visual element described by the caption.
