pdf_page,kind,id,filename,caption,description
90,Image,Image 3.24,Image3.24_AFinnishAseUtraSuppressorFittedToAn.png,A Finnish Ase Utra suppressor fitted to an early model Australian,Photograph/illustration of the item described in the caption.
91,Image,Image 3.25,Image3.25_ExamplesOfDetachableBoxMagazines.png,Examples of detachable box magazines,Photograph/illustration of the item described in the caption.
92,Image,Image 3.26,Image3.26_DetachableDrum.png,Detachable drum (left) and helical drum (right) magazines,Photograph/illustration of the item described in the caption.
92,Image,Image 3.27,Image3.27_ANonDisintegratingBeltOf.png,A non-disintegrating belt of,Photograph/illustration of the item described in the caption.
93,Image,Image 3.28,Image3.28_NonDisintegratingAndDisintegratingMachineGunBelts.png,Non-disintegrating and disintegrating machine gun belts,Photograph/illustration of the item described in the caption.
93,Image,Image 3.29,Image3.29_LeftAndRightSideViewsOfATypicalBelt.png,"Left- and right-side views of a typical belt feed mechanism, including top",Photograph/illustration of the item described in the caption.
94,Image,Image 3.30,Image3.30_TheBeltFeedMechanismsOfDShK.png,The belt feed mechanisms of DShK (left) and DShKM (right) HMGs,Photograph/illustration of the item described in the caption.
95,Image,Image 3.31,Image3.31_AR15Type.png,AR-15-type (left) and AK-type (right) magazines,Photograph/illustration of the item described in the caption.
96,Box,Box 3.4,Box3.4_MythsAndMisconceptionsClipOrMagazine.png,Myths and misconceptions: ‘clip’ or ‘magazine’?,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
96,Image,Image 3.32,Image3.32_ClipsVersusMagazines.png,Clips versus magazines,Photograph/illustration of the item described in the caption.
97,Image,Image 3.33,Image3.33_ExamplesOfFirearmFinishes.png,Examples of firearm finishes,Photograph/illustration of the item described in the caption.
98,Image,Image 3.34,Image3.34_ARangeOfFirearmsSpecificPaintFinishes.png,A range of firearms-specific paint finishes,Photograph/illustration of the item described in the caption.
99,Box,Box 3.5,Box3.5_MythsAndMisconceptionsGoldenGuns.png,Myths and misconceptions: ‘golden guns’,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
99,Image,Image 3.35,Image3.35_AnFNHerstalHighPowerRenaissanceGradeHandgunDocumented.png,"An FN Herstal High-Power ‘Renaissance’ grade handgun, documented",Photograph/illustration of the item described in the caption.
100,Image,Image 3.36,Image3.36_FactoryMarkingsReflectingManufacturePriorToAndAfter.png,Factory markings reflecting manufacture prior to and after November–,Photograph/illustration of the item described in the caption.
101,Box,Box 3.6,Box3.6_CounterfeitAndReproductionFirearms.png,Counterfeit and reproduction firearms,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
101,Image,Image 3.37,Image3.37_MarkingsOnAChineseMadeCounterfeitPistolPurportingTo.png,"Markings on a Chinese-made counterfeit pistol, purporting to have",Photograph/illustration of the item described in the caption.
102,Image,Image 3.38,Image3.38_SpuriousMarkingsOnASelfLoadingRifleFalselyClaimed.png,Spurious markings on a self-loading rifle falsely claimed to be an,Photograph/illustration of the item described in the caption.
102,Image,Image 3.39,Image3.39_TheTroyIndustriesGAU5AAAModernReproductionOf.png,"The Troy Industries GAU-5/A/A, a modern reproduction of the Vietnam",Photograph/illustration of the item described in the caption.
103,Image,Image 3.40,Image3.40_ExamplesOfFactoryMarkings.png,Examples of factory markings,Photograph/illustration of the item described in the caption.
104,Image,Image 3.41,Image3.41_MakeManufacturerAndCountryOfOriginMarkingsOn.png,"Make, manufacturer, and country of origin markings on a German Heckler",Photograph/illustration of the item described in the caption.
105,Image,Image 3.42,Image3.42_MakeMarkingOnARussianMP155SelfLoadingShotgun.png,Make marking on a Russian MP-155 self-loading shotgun,Photograph/illustration of the item described in the caption.
105,Image,Image 3.43,Image3.43_MakeAndManufacturer.png,Make and manufacturer,Photograph/illustration of the item described in the caption.
106,Image,Image 3.44,Image3.44_CountryMarkingOnAYugoslavianZastavaArmsM48A.png,Country marking on a Yugoslavian Zastava Arms M48A bolt-action rifle,Photograph/illustration of the item described in the caption.
106,Image,Image 3.45,Image3.45_ARussianMosinNagantRifleMarkedOnThe.png,A Russian Mosin Nagant rifle marked on the top of the receiver in Russian,Photograph/illustration of the item described in the caption.
107,Box,Box 3.7,Box3.7_StateParticipationInTheSmallArmsAndLight.png,State participation in the small arms and light weapons supply chain,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
108,Image,Image 3.46,Image3.46_ModelAndCalibreMarkings.png,Model and calibre markings,Photograph/illustration of the item described in the caption.
109,Image,Image 3.47,Image3.47_ExamplesOfModelAndCalibreMarkings.png,Examples of model and calibre markings,Photograph/illustration of the item described in the caption.
110,Image,Image 3.48,Image3.48_ARifleWithACalibreMarkingOnThe.png,A rifle with a calibre marking on the top surface of the receiver,Photograph/illustration of the item described in the caption.
111,Image,Image 3.49,Image3.49_SerialNumberMarkingOnARussianAK1032SelfLoading.png,Serial number marking on a Russian AK-103-2 self-loading rifle,Photograph/illustration of the item described in the caption.
112,Image,Image 3.50,Image3.50_PartSerialNumber.png,Part-serial number (3042) stamped on a recoil spring guide assembly from,Photograph/illustration of the item described in the caption.
113,Image,Image 3.51,Image3.51_SerialNumber.png,Serial number (88-003391),Photograph/illustration of the item described in the caption.
113,Image,Image 3.52,Image3.52_SerialNumber.png,Serial number (BI1229) and,Photograph/illustration of the item described in the caption.
114,Image,Image 3.53,Image3.53_PostProductionSerialNumber.png,Post-production serial number (B-252) on a German Heckler & Koch,Photograph/illustration of the item described in the caption.
115,Image,Image 3.54,Image3.54_ExamplesOfDateMarkings.png,Examples of date markings,Photograph/illustration of the item described in the caption.
117,Image,Image 3.55,Image3.55_ExamplesOfSafetySelectorMarkings.png,Examples of safety/selector markings,Photograph/illustration of the item described in the caption.
118,Image,Image 3.56,Image3.56_ExamplesOfSightMarkings.png,Examples of sight markings,Photograph/illustration of the item described in the caption.
119,Image,Image 3.57,Image3.57_ExamplesOfProofAndInspectionMarkings.png,Examples of proof and inspection markings,Photograph/illustration of the item described in the caption.
120,Image,Image 3.58,Image3.58_InspectionMarkingOnAnM16Barrel.png,Inspection marking on an M16 barrel,Photograph/illustration of the item described in the caption.
121,Image,Image 3.59,Image3.59_ExamplesOfGovernmentPropertyAndArsenalMarkings.png,Examples of government property and arsenal markings,Photograph/illustration of the item described in the caption.
122,Image,Image 3.60,Image3.60_ImportMarkingsOnAPolishKbkAKMSelfLoading.png,Import markings on a Polish kbk AKM self-loading rifle imported into the,Photograph/illustration of the item described in the caption.
123,Image,Image 3.61,Image3.61_ExamplesOfInventoryMarkings.png,Examples of inventory markings,Photograph/illustration of the item described in the caption.
123,Image,Image 3.62,Image3.62_PatentMarkingsOnGerman.png,Patent markings on German,Photograph/illustration of the item described in the caption.
124,Image,Image 3.63,Image3.63_ManufacturerMarkingsOnMagazines.png,Manufacturer markings on magazines,Photograph/illustration of the item described in the caption.
124,Image,Image 3.64,Image3.64_PartialSerialNumber.png,Partial serial number,Photograph/illustration of the item described in the caption.
124,Image,Image 3.65,Image3.65_DifferentManufacturer.png,Different manufacturer,Photograph/illustration of the item described in the caption.
125,Image,Image 3.66,Image3.66_MarkingsOnAnExternalPackaging.png,Markings on an external packaging,Photograph/illustration of the item described in the caption.
126,Image,Image 3.67,Image3.67_PackagingCrateFromBelgianWeaponsDocumentedInLibya.png,Packaging crate from Belgian weapons documented in Libya,Photograph/illustration of the item described in the caption.
126,Image,Image 3.68,Image3.68_MarkingsOnACrateDeliveredToQaddafiEraLibya.png,Markings on a crate delivered to Qaddafi-era Libya from North Korea,Photograph/illustration of the item described in the caption.
128,Image,Image 3.69,Image3.69_DeliveryDocumentation.png,Delivery documentation (packing list) for Russian AK-103-2 self-loading,Photograph/illustration of the item described in the caption.
129,Image,Image 3.70,Image3.70_MarkingsOnAGermanHecklerKochAG.png,Markings on a German Heckler & Koch AG SA 80 (L17A2) 40 × 46 SR,Photograph/illustration of the item described in the caption.
133,Figure,Figure 4.1,Figure4.1_CrossSectionOfA7.png,Cross-section of a 7.62 × 51 mm cartridge,Diagram showing internal components in cross-section.
134,Table,Table 4.1,Table4.1_DominantRifleAndMachineGunCartridgesInGlobal.png,Dominant rifle and machine gun cartridges in global military service,Table presenting structured data or a comparison relevant to the caption.
135,Image,Image 4.1,Image4.1_CommonRifleAndMachineGunCartridges.png,Common rifle and machine gun cartridges,Photograph/illustration of the item described in the caption.
136,Image,Image 4.2,Image4.2_CommonPistolCartridges.png,Common pistol cartridges,Photograph/illustration of the item described in the caption.
136,Table,Table 4.2,Table4.2_SelectedCommonPistolCartridgesWorldwide.png,Selected common pistol cartridges worldwide,Table presenting structured data or a comparison relevant to the caption.
138,Figure,Figure 4.2,Figure4.2_BasicCompositionOfA7.png,Basic composition of a 7.62 × 39 mm cartridge,Diagram illustrating the arrangement/composition described in the caption.
139,Figure,Figure 4.3,Figure4.3_DistanceMeasuredBetweenTheLands.png,Distance measured between the lands (X) or grooves (Y) of a rifled barrel,Illustration comparing rifling types described in the caption.
139,Image,Image 4.3,Image4.3_AFiredProjectileShowing.png,"A fired projectile, showing",Photograph/illustration of the item described in the caption.
140,Image,Image 4.4,Image4.4_HeadstampMarkingsOnA7.png,Headstamp markings on a 7.62 × 39 mm cartridge case,Photograph/illustration of the item described in the caption.
142,Table,Table 4.3,Table4.3_PurposesAndUsersOfAmmunitionByFunctionalType.png,Purposes and users of ammunition by functional type,Table presenting structured data or a comparison relevant to the caption.
143,Image,Image 4.5,Image4.5_VariousTypesOf7.png,Various types of 7.62 × 51 mm cartridges,Photograph/illustration of the item described in the caption.
144,Image,Image 4.6,Image4.6_TypicalCartridgeCaseRimConfigurations.png,Typical cartridge case rim configurations,Photograph/illustration of the item described in the caption.
145,Image,Image 4.7,Image4.7_CommonCartridgeCaseConfigurations.png,Common cartridge case configurations,Photograph/illustration of the item described in the caption.
147,Image,Image 4.8,Image4.8_CartridgesWithCasesMadeOfVariousMaterials.png,Cartridges with cases made of various materials,Photograph/illustration of the item described in the caption.
148,Image,Image 4.9,Image4.9_TwoCartridgesOfTheSameCalibre.png,Two cartridges of the same calibre (.264 USA),Photograph/illustration of the item described in the caption.
150,Figure,Figure 4.4,Figure4.4_ExamplesOfCommonProjectileJacketConfigurations.png,Examples of common projectile jacket configurations,Figure illustrating the concept described in the caption.
150,Image,Image 4.10,Image4.10_DifferentProjectilesForThe5.png,Different projectiles for the 5.56 × 45 mm cartridge,Photograph/illustration of the item described in the caption.
152,Image,Image 4.11,Image4.11_ExamplesOfVariousCrimpingFlutingAndCannelures.png,"Examples of various crimping, fluting, and cannelures",Photograph/illustration of the item described in the caption.
154,Image,Image 4.12,Image4.12_SampleHeadstamps.png,Sample headstamps,Photograph/illustration of the item described in the caption.
155,Image,Image 4.13,Image4.13_FurtherSampleHeadstamps.png,Further sample headstamps,Photograph/illustration of the item described in the caption.
156,Box,Box 4.1,Box4.1_UnmarkedMismarkedAndCounterfeitHeadstamps.png,"Unmarked, mismarked, and counterfeit headstamps","Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
156,Image,Image 4.14,Image4.14_ACounterfeit7.png,"A counterfeit 7.62 × 51 mm cartridge produced in China, marked so",Photograph/illustration of the item described in the caption.
157,Image,Image 4.15,Image4.15_Sudanese7.png,Sudanese 7.62 × 39 mm cartridges,Photograph/illustration of the item described in the caption.
158,Image,Image 4.16,Image4.16_Various7.png,Various 7.62 × 39 mm cartridge projectiles from a range of countries and,Photograph/illustration of the item described in the caption.
159,Table,Table 4.4,Table4.4_SelectedWarsawPactProjectileColourCodes.png,Selected Warsaw Pact projectile colour codes,Table presenting structured data or a comparison relevant to the caption.
160,Figure,Figure 4.6,Figure4.6_SelectedNATOAndAssociatedMilitaryProjectileColourCodes.png,Selected NATO and associated military projectile colour codes,Figure illustrating the concept described in the caption.
160,Table,Table 4.5,Table4.5_SelectedNATOAndAssociatedMilitaryProjectileColourCodes.png,Selected NATO and associated military projectile colour codes,Table presenting structured data or a comparison relevant to the caption.
161,Figure,Figure 4.7,Figure4.7_ExamplesOfTheDifferentColoursTypesAndApplication.png,"Examples of the different colours, types, and application locations of sealants",Figure illustrating the concept described in the caption.
162,Box,Box 4.2,Box4.2_MythsAndMisconceptionsPoisonedBullets.png,Myths and misconceptions: ‘poisoned bullets’,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
163,Image,Image 4.17,Image4.17_CommonMarkingsOnEasternBlocOuterPackaging.png,Common markings on Eastern Bloc outer packaging (wooden crate),Photograph/illustration of the item described in the caption.
164,Figure,Figure 4.8,Figure4.8_TypicalMarkingFormatOnEasternBlocInnerPackaging.png,Typical marking format on Eastern Bloc inner packaging (metal tin) containing Soviet 7.62 × 54R mm light ball cartridges,Figure illustrating the concept described in the caption.
164,Image,Image 4.18,Image4.18_ARepresentativeSoviet7.png,A representative Soviet 7.62 × 54R mm B-32 cartridge,Photograph/illustration of the item described in the caption.
164,Image,Image 4.19,Image4.19_AmericanArmscorUSA.png,American Armscor USA .22 TCM cartridges in cardboard packaging with,Photograph/illustration of the item described in the caption.
165,Image,Image 4.20,Image4.20_ExamplesOfCardboardInnerPackagingAssociatedWithCartridgeBased.png,Examples of cardboard inner packaging associated with cartridge-based,Photograph/illustration of the item described in the caption.
169,Image,Image 5.1,Image5.1_ARussianDShKMHMG.png,A Russian DShKM HMG,Photograph/illustration of the item described in the caption.
169,Image,Image 5.2,Image5.2_AnAmericanBrowningM2HBHMG.png,An American Browning M2 HB HMG,Photograph/illustration of the item described in the caption.
170,Image,Image 5.3,Image5.3_ASouthAfricanDenelNTW202082.png,"A South African Denel NTW20 20 × 82 mm2 light cannon, considered by",Photograph/illustration of the item described in the caption.
171,Image,Image 5.4,Image5.4_ASolothurnS18110020.png,A Solothurn S18-1100 20 ×,Photograph/illustration of the item described in the caption.
172,Image,Image 5.5,Image5.5_AnAmericanM79BreakAction4046SRMm.png,An American M79 break-action 40 × 46SR mm grenade launcher,Photograph/illustration of the item described in the caption.
172,Image,Image 5.6,Image5.6_ABulgarianArsenalMSGLRevolverType4046SR.png,A Bulgarian Arsenal MSGL revolver-type 40 × 46SR mm grenade launcher,Photograph/illustration of the item described in the caption.
173,Image,Image 5.7,Image5.7_ASerbianZastavaArmsBGP40SemiCaseless40Mm.png,A Serbian Zastava Arms BGP40 semi-caseless 40 mm under-barrel grenade,Photograph/illustration of the item described in the caption.
174,Image,Image 5.8,Image5.8_AUSM203A2ManuallyOperated4046SRMm.png,A US M203A2 manually-operated 40 × 46SR mm under-barrel grenade,Photograph/illustration of the item described in the caption.
174,Image,Image 5.9,Image5.9_ABelgianFNHerstalFN40GLManuallyOperated40.png,A Belgian FN Herstal FN40GL manually-operated 40 × 46SR mm under-,Photograph/illustration of the item described in the caption.
175,Image,Image 5.10,Image5.10_ARussianAGS30AGLWithASimpleOptical.png,A Russian AGS-30 AGL with a simple optical sight,Photograph/illustration of the item described in the caption.
176,Box,Box 5.1,Box5.1_FCSsAndAirburstMunitionsForAGLs.png,FCSs and airburst munitions for AGLs,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
176,Image,Image 5.11,Image5.11_AUSGeneralDynamicsOrdnanceAndTacticalSystems.png,A US General Dynamics Ordnance and Tactical Systems MK 47 Mod 0,Photograph/illustration of the item described in the caption.
177,Image,Image 5.12,Image5.12_NammoMK285.png,Nammo MK 285,Photograph/illustration of the item described in the caption.
178,Image,Image 5.13,Image5.13_ABritishStokes3InchLight.png,A British Stokes 3-inch ‘light,Photograph/illustration of the item described in the caption.
178,Image,Image 5.14,Image5.14_SerbianM6982MmMortar.png,Serbian M69 82 mm mortar,Photograph/illustration of the item described in the caption.
180,Image,Image 5.15,Image5.15_ASwedishSaabAT4ShoulderFiredRecoillessWeapon.png,A Swedish Saab AT4 shoulder-fired recoilless weapon,Photograph/illustration of the item described in the caption.
180,Image,Image 5.16,Image5.16_ARussianSPG9CrewServedRecoillessGun.png,A Russian SPG-9 crew-served recoilless gun,Photograph/illustration of the item described in the caption.
181,Image,Image 5.17,Image5.17_AmericanTalleyDefenseSystemsM72LightAntiTankWeapon.png,American Talley Defense Systems M72 light anti-tank weapon (LAW),Photograph/illustration of the item described in the caption.
182,Box,Box 5.2,Box5.2_MythsAndMisconceptionsRocketLaunchersVersusRecoillessWeapons.png,Myths and misconceptions: ‘rocket launchers’ versus ‘recoilless weapons’,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
182,Image,Image 5.18,Image5.18_ARussianRPG7VShoulderFiredRecoillessWeapon.png,A Russian RPG-7V shoulder-fired recoilless weapon,Photograph/illustration of the item described in the caption.
184,Image,Image 5.19,Image5.19_ARussian9K135KornetE.png,A Russian 9K135 Kornet-E,Photograph/illustration of the item described in the caption.
185,Image,Image 5.20,Image5.20_A9K32MStrela2MMANPADSAndIts9M32MSAM.png,A 9K32M Strela-2M MANPADS and its 9M32M SAM,Photograph/illustration of the item described in the caption.
186,Image,Image 5.21,Image5.21_ASwedishSaabRBS70NGCREWPADSFiring.png,A Swedish Saab RBS 70 NG CREWPADS firing BOLIDE ‘all-target’ SAM,Photograph/illustration of the item described in the caption.
187,Image,Image 5.22,Image5.22_ABrowning.png,A Browning,Photograph/illustration of the item described in the caption.
187,Image,Image 5.23,Image5.23_TheRearOfTheReceiverOfARomanian.png,The rear of the receiver of a Romanian copy of a KPV HMG,Photograph/illustration of the item described in the caption.
188,Image,Image 5.24,Image5.24_TheCircularBaseplateOfABritishL1681.png,The circular baseplate of a British L16 81 mm mortar,Photograph/illustration of the item described in the caption.
189,Image,Image 5.25,Image5.25_ExamplesOfBeltedAmmunition.png,Examples of belted ammunition,Photograph/illustration of the item described in the caption.
190,Image,Image 5.26,Image5.26_AnM2TypeHMGFittedWithVariousOptical.png,An M2 type HMG fitted with various optical sight systems,Photograph/illustration of the item described in the caption.
191,Image,Image 5.27,Image5.27_MarkingsOnAPolishDShKM.png,Markings on a Polish DShKM,Photograph/illustration of the item described in the caption.
191,Image,Image 5.28,Image5.28_MarkingsOnARussianRPG7VLauncher.png,Markings on a Russian RPG-7V launcher,Photograph/illustration of the item described in the caption.
192,Image,Image 5.29,Image5.29_MarkingsOnTheRearOfAnM40A1PatternRecoilless.png,Markings on the rear of an M40A1-pattern recoilless gun,Photograph/illustration of the item described in the caption.
192,Image,Image 5.30,Image5.30_ASafety.png,A safety/,Photograph/illustration of the item described in the caption.
193,Image,Image 5.31,Image5.31_MarkingPlate.png,Marking plate,Photograph/illustration of the item described in the caption.
193,Image,Image 5.32,Image5.32_MarkingPlateOnAnAmericanHughesAircraftCo.png,Marking plate on an American Hughes Aircraft Co. TOW ATGM launch unit,Photograph/illustration of the item described in the caption.
194,Image,Image 5.33,Image5.33_MarkingsOnTheMuzzleEndOfABritish.png,Markings on the muzzle end of a British L16A2 81 mm mortar barrel,Photograph/illustration of the item described in the caption.
194,Image,Image 5.34,Image5.34_FireSelector.png,Fire selector,Photograph/illustration of the item described in the caption.
195,Table,Table 5.1,Table5.1_SelectedHMGCartridgesInMilitaryService.png,Selected HMG cartridges in military service,Table presenting structured data or a comparison relevant to the caption.
196,Image,Image 5.35,Image5.35_SomeSampleCartridgesUsedWithHMGsATRsAndOr.png,"Some sample cartridges used with HMGs, ATRs, and/or AMRs",Photograph/illustration of the item described in the caption.
197,Table,Table 5.2,Table5.2_DominantLightCannonCartridgesInGlobalMilitaryService.png,Dominant light cannon cartridges in global military service,Table presenting structured data or a comparison relevant to the caption.
198,Image,Image 5.36,Image5.36_ExamplesOfCartridgesUsedWithLightCannon.png,Examples of cartridges used with light cannon,Photograph/illustration of the item described in the caption.
199,Image,Image 5.37,Image5.37_SelectedLightCannonAmmunition.png,Selected light cannon ammunition,Photograph/illustration of the item described in the caption.
